,0,1,2,3,4,5,6,7,8
22,1.0,0.0,2.0,0.25,0.0,0.5,0.24992050393228754,-3.34172525241119e-05,0.5000647139145621
23,1.0,0.0,4.0,0.25,0.0,1.0,0.24979763058720988,6.957815534908267e-06,1.0000578234682767
24,1.0,2.0,0.0,0.25,0.5,0.0,0.25000245678411365,0.49993792977365764,2.8300069873352083e-05
25,1.0,2.0,2.0,0.25,0.5,0.5,0.24996199074468317,0.49998294180332037,0.5000212690819448
26,1.0,2.0,4.0,0.25,0.5,1.0,0.24984916709870014,0.5000363681801252,1.0000188909507375
27,1.0,4.0,0.0,0.25,1.0,0.0,0.24999586321089678,0.9998924229988766,-6.987356650832471e-05
28,1.0,4.0,2.0,0.25,1.0,0.5,0.24998243556283423,0.9999813123939857,0.4999566242058882
29,1.0,4.0,4.0,0.25,1.0,1.0,0.24986833336175315,1.0000405770683918,0.9999547088550993
30,2.0,0.0,0.0,0.5,0.0,0.0,0.4999543773477433,-8.821312202766415e-05,8.999442278840641e-05
31,2.0,0.0,1.0,0.5,0.0,0.25,0.4999201771652222,-7.415979864729091e-05,0.25011838325986774
32,2.0,0.0,2.0,0.5,0.0,0.5,0.4998842754661525,-1.2318088514197582e-05,0.5001517683525756
33,2.0,0.0,3.0,0.5,0.0,0.75,0.49982513512245,3.14728565507038e-05,0.7501496567532665
34,2.0,0.0,4.0,0.5,0.0,1.0,0.49974389462957486,6.435091756670439e-05,1.00013476188442
35,2.0,1.0,0.0,0.5,0.25,0.0,0.4999759551392672,0.2499069806711729,8.99485337123148e-05
36,2.0,1.0,2.0,0.5,0.25,0.5,0.4999114397895076,0.2499944739118994,0.5000919282490193
37,2.0,1.0,4.0,0.5,0.25,1.0,0.49976933931697526,0.25005761019007106,1.000104163911878
38,2.0,2.0,0.0,0.5,0.5,0.0,0.4999650344509724,0.49989067959225914,4.5577303186407215e-05
39,2.0,2.0,1.0,0.5,0.5,0.25,0.49995937606494123,0.49993059254658423,0.2500550730271735
40,2.0,2.0,2.0,0.5,0.5,0.5,0.499940238617156,0.49999136011701184,0.50006193016874
41,2.0,2.0,3.0,0.5,0.5,0.75,0.4998774780471209,0.5000124585497734,0.7500585236414675
42,2.0,2.0,4.0,0.5,0.5,1.0,0.49980397775295216,0.5000538194753888,1.000048635503808
43,2.0,3.0,0.0,0.5,0.75,0.0,0.500003837889851,0.7498906200626492,2.195964112349106e-05
44,2.0,3.0,2.0,0.5,0.75,0.5,0.4999305447006581,0.7499949165360369,0.5000194882812978
45,2.0,3.0,4.0,0.5,0.75,1.0,0.49984970157779196,0.7500467551329237,0.9999983703504688
46,2.0,4.0,0.0,0.5,1.0,0.0,0.5000043759937802,0.9998903885433795,-1.3136017102266476e-05
47,2.0,4.0,1.0,0.5,1.0,0.25,0.4999963705195007,0.9999430147514697,0.24997909838607954
48,2.0,4.0,2.0,0.5,1.0,0.5,0.49994746935012063,0.9999923668635384,0.4999743236054188
49,2.0,4.0,3.0,0.5,1.0,0.75,0.49986464459409397,1.0000227178213195,0.7499782230633396
50,2.0,4.0,4.0,0.5,1.0,1.0,0.49982762606252024,1.0000176527942441,0.9999752514063545
51,3.0,0.0,0.0,0.75,0.0,0.0,0.7499340747547644,-0.000122840191797965,0.0001610246129007928
52,3.0,0.0,2.0,0.75,0.0,0.5,0.7498511994102977,-2.8186102778510448e-05,0.5002025574430375
53,3.0,0.0,4.0,0.75,0.0,1.0,0.7497724325913722,0.00010521551866149037,1.0002083189841968
54,3.0,2.0,0.0,0.75,0.5,0.0,0.7499851352716035,0.4998683259851274,8.036492284094838e-05
55,3.0,2.0,2.0,0.75,0.5,0.5,0.7499100669074691,0.499971649213666,0.5000806449445727
56,3.0,2.0,4.0,0.75,0.5,1.0,0.7498342722743646,0.5001072012471753,1.0000860467021242
57,3.0,4.0,0.0,0.75,1.0,0.0,0.750019052598829,0.9998625988088372,-3.46330837645198e-05
58,3.0,4.0,2.0,0.75,1.0,0.5,0.7499726453414206,0.9999670451775219,0.4999463521400787
